5511,12288
3528,9712
4420,9152
834,10050
6879,9185
7174,9185
4356,9136
6887,11775
561,12048
2689,11494
4259,9593
4291,10395
3246,10416
700,13471
753,12560
74,9126
2063,14174
4038,8983
1782,8965
6107,9262
5107,9410
4415,9410
1148,8827
5707,9731
5816,9260
1749,13970
3600,9212
3271,9772
5568,9135
2404,12654
6146,11052
811,10673
673,8943
5423,13302
5328,9151
3151,11384
2909,9206
133,12268
2069,11294
6567,10555
2460,10340
3009,13459
3557,10502
1464,8872
1924,9854
4775,11458
855,9239
946,8992
5998,9082
2090,11471
4365,12141
7854,9778
2450,10677
5744,11742
6134,10360
1252,10756
4139,10639
1819,10057
6582,8938
2451,11890
2646,9690
3113,12008
4921,12144
2827,9930
215,9932
5039,11725
560,10099
4151,12011
2317,9716
4993,9716
789,9232
3917,9232
1112,10428
5187,10631
824,9005
3100,11680
2256,10405
1352,12512
4565,13955
1478,9342
4393,9306
2728,11379
1729,9430
1777,14170
2107,9574
3970,9595
3432,10543
1446,9072
3571,9363
983,9272
1538,9080
3762,12126
2430,10830
7027,9060
6763,10780
2068,12212
973,13560
3430,13881
1379,9168
1054,9136
2199,14063
1336,9090
2615,11242
1078,13458
1999,9256
3393,10361
131,9432
2785,9689
7482,9120
991,8827
5649,9053
3136,9260
446,8912
2379,9572
520,9212
3321,9213
1505,9326
5381,13687
5451,12995
775,9596
940,9619
6637,8943
1439,9392
6686,12038
164,10392
6820,11151
2326,12473
879,10943
209,9329
758,10212
3257,8838
2230,11721
3992,10918
4869,12922
848,12691
2762,10340
2677,10034
3146,12633
5518,9908
1182,9870
5957,9033
6926,9014
5485,11369
4672,13510
4627,9168
3167,9185
6037,9346
5581,15016
1439,9555
261,11628
5280,11406
5373,9262
5377,9578
4280,9065
3051,9102
5461,12568
1448,9515
664,10657
6473,11858
1241,12885
778,10166
3910,10860
4528,12374
791,9914
3124,9781
3411,9159
525,9842
4166,12057
2340,8995
5861,13758
1427,12192
5358,13457
2647,12173
640,11350
2192,10791
3330,9626
5603,10770
2131,13867
3955,11621
3422,12108
3894,10096
4723,10688
2557,9829
5965,14224
1379,9160
5481,10429
6158,10370
521,9285
2894,14898
2948,9296
2318,9347
2923,13132
968,9074
6149,10417
3315,10595
4557,9736
1807,14580
5624,10562
3055,9503
1703,9436
5527,9826
5098,13213
3971,14916
802,10460
2983,12428
5858,9002
1758,11051
2646,11192
3352,10043
1130,9521
3114,13155
3528,11180
2241,11184
3493,12270
6027,9898
5140,9367
253,13086
2524,14764
3966,12715
2434,11252
7619,9251
7624,9167
1758,14131
640,11254
3049,14034
4053,10764
3124,13139
3409,10295
1619,9725
1881,9240
1910,10232
7031,12562
4431,10140
6163,9002
2451,12336
7648,9251
1031,13884
734,11049
4878,8898
2532,8950
2235,10224
1042,13193
1749,14600
1231,12365
1848,12362
3203,12990
1328,10841
2905,12431
5122,14262
2156,9379
2146,9218
3906,9060
2911,9318
5244,15260
6246,10424
848,10840
4896,10276
1694,14313
3894,8917
4250,9537
5771,9706
3249,9125
1753,8827
7289,9213
6174,8943
4134,9151
30,9151
993,9329
4957,13721
694,9000
1657,8876
5928,9755
2156,10579
4626,8997
1188,8945
74,9849
4966,15179
4243,14029
5468,12143
4923,9185
3731,9136
5427,12962
1125,12272
3977,14333
2420,13701
2947,9020
914,8903
6213,9324
1538,11437
1519,9434
4944,13259
2890,10918
205,8928
1269,11992
4732,9197
3109,11897
1690,12658
2396,10771
3678,10154
3124,10272
2885,10774
5462,9931
1669,10808
4289,8929
4319,12184
2893,11556
3638,11556
538,11169
2540,11074
3134,9586
3558,10631
1648,11522
6707,14298
926,12129
6563,11157
1818,9734
1329,9385
2503,9385
2834,8948
4083,10489
3593,10489
5972,8986
1478,9885
5273,9540
4828,11314
31,10600
4016,11580
5110,9641
3230,11009
4982,13838
5088,9014
6225,9180
2129,9431
5028,12438
1546,10123
7632,9569
4894,10110
7730,9060
1543,11232
65,11234
1989,14269
4124,13601
656,9313
3748,11576
3598,8973
1926,9346
6430,9096
5271,11091
3812,11260
3211,11880
4416,9178
3277,12596
540,8827
3206,12615
4013,9848
1676,10768
2062,8890
831,10642
596,8947
4082,11592
4057,9141
1401,8843
3074,10401
2115,10312
3257,9080
1883,11485
5291,9504
600,9999
700,8894
3535,9643
853,12267
1817,9233
1386,9555
1376,8827
2849,9053
2076,9623
3058,11011
1054,9772
3605,13104
3936,13104
3741,15593
3698,13116
3288,8905
4327,12587
4350,10678
1723,9692
1723,9652
245,8838
